cliente_id,nombre_cliente,tipo_cliente,zona_id,nombre_zona,empleado_id,nombre_comercial,activo,fecha_alta,fecha_baja
1,Supermercado Galindo,Supermercado,7,San Sebastián de los Reyes,14,Azahara Giménez,Sí,2018-08-27,
2,Tienda Camacho,Tienda,6,Alcobendas,13,Bernarda Gallo,Sí,2019-02-04,
3,Bar Quirós,Bar,6,Alcobendas,13,Bernarda Gallo,Sí,2021-04-24,
4,Tienda Valenzuela,Tienda,3,Madrid Sur,10,Marcelino Palacio,Sí,2018-05-05,
5,Bar Melero,Bar,6,Alcobendas,13,Bernarda Gallo,No,2018-11-23,2023-02-06
6,Bar Lillo,Bar,8,Getafe,15,Simón Coello,Sí,2020-07-28,
7,Gasolinera Falcó,Gasolinera,3,Madrid Sur,10,Marcelino Palacio,Sí,2022-04-19,
8,Tienda Villa,Tienda,5,Madrid Oeste,12,Manola Larrañaga,Sí,2022-08-18,
9,Restaurante Zamora,Restaurante,1,Madrid Centro,8,Perla Arenas,Sí,2017-10-06,
10,Restaurante Santiago,Restaurante,2,Madrid Norte,9,Carolina Lopez,Sí,2020-05-24,
11,Restaurante Pinilla,Restaurante,1,Madrid Centro,8,Perla Arenas,Sí,2017-10-27,
12,Bar Menendez,Bar,1,Madrid Centro,8,Perla Arenas,Sí,2023-04-15,
13,Restaurante Vilanova,Restaurante,12,Fuenlabrada,17,Armando Caparrós,Sí,2016-12-12,
14,Gasolinera Mascaró,Gasolinera,6,Alcobendas,13,Bernarda Gallo,Sí,2021-10-09,
15,Bar Pol,Bar,1,Madrid Centro,8,Perla Arenas,Sí,2023-11-29,
16,Tienda Cuadrado,Tienda,10,Móstoles,16,Baltasar Navas,Sí,2022-09-26,
17,Bar Rocamora,Bar,9,Leganés,15,Simón Coello,Sí,2025-05-05,
18,Tienda Talavera,Tienda,5,Madrid Oeste,12,Manola Larrañaga,Sí,2020-09-04,
19,Bar Valls,Bar,10,Móstoles,16,Baltasar Navas,Sí,2023-03-15,
20,Bar Vila,Bar,10,Móstoles,16,Baltasar Navas,No,2021-06-22,2023-11-23
21,Restaurante Rios,Restaurante,5,Madrid Oeste,12,Manola Larrañaga,Sí,2022-04-17,
